日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
電線;Densen;でんせん;Kabel Listrik, Kabel, Saluran Listrik;119;電:でん|線:せん
銅帯;Dōtai;どうたい;Pita Tembaga, Strip Tembaga, Bahan Tembaga dalam Bentuk Pita;119;銅:どう|帯:たい
回路毎;Kairo-goto;かいろごと;Setiap Sirkuit, Per Sirkuit, Tiap Jalur Listrik;119;回:かい|路:ろ|毎:ごと
遮断器;Shadan-ki;しゃだんき;Pemutus Arus, Circuit Breaker, Alat Pemutus Listrik;119;遮:しゃ|断:だん|器:き
設ける;Mōkeru;もうける;Menyediakan, Menempatkan, Memasang;119;設:もう
定格;Teikaku;ていかく;Peringkat, Spesifikasi, Rating;119;定:てい|格:かく
給水設備;Kyūsui Setsubi;きゅうすいせつび;Peralatan Penyediaan Air, Sistem Penyediaan Air, Alat untuk Menyediakan Air;119;給:きゅう|水:すい|設:せつ|備:び
換気設備;Kanki Setsubi;かんきせつび;Peralatan Ventilasi, Sistem Ventilasi, Alat untuk Ventilasi;119;換:かん|気:き|設:せつ|備:び
冷暖房設備;Reidanbō Setsubi;れいだんぼうせつび;Peralatan Pendingin dan Pemanas, Sistem AC dan Pemanas, Alat untuk Pendinginan dan Pemanasan;119;冷:れい|暖:だん|房:ぼう|設:せつ|備:び
基本的な;Kihonteki na;きほんてきな;Dasar, Fundamental, Pokok;119;基:き|本:ほん|的:てき
構造;Kōzō;こうぞう;Struktur, Konstruksi, Susunan;119;構:こう|造:ぞう
電源電圧;Dengen Den'atsu;でんげんでんあつ;Tegangan Sumber Daya, Tegangan Listrik, Voltage Power Supply;119;電:でん|源:げん|電:でん|圧:あつ
盤表面;Ban Hyōmen;ばんひょうめん;Permukaan Panel, Bagian Depan Panel, Muka Panel;119;盤:ばん|表:ひょう|面:めん
表示ランプ;Hyōji Ranpu;ひょうじランプ;Lampu Indikator, Lampu Penunjuk, Lampu Tampilan;119;表:ひょう|示:じ
入切スイッチ;Irikiri Suicchi;いりきりスイッチ;Saklar On/Off, Saklar Hidup/Mati, Switch untuk Menyalakan dan Mematikan;119;入:いり|切:きり
動力;Dōryoku;どうりょく;Tenaga, Daya, Power;119;動:どう|力:りょく
動力混合分電盤;Dōryoku Kongō Bundenban;どうりょくこんごうぶんでんばん;Panel Distribusi Campuran Tenaga, Panel Distribusi Gabungan, Panel Listrik untuk Tenaga dan Lampu;119;動:どう|力:りょく|混:こん|合:ごう|分:ぶん|電:でん|盤:ばん

配線用遮断器;Haisen-yō Shadan-ki;はいせんようしゃだんき;Pemutus Sirkuit untuk Pengkabelan, Circuit Breaker untuk Wiring, Alat Pemutus Arus untuk Kabel;121;配:はい|線:せん|用:よう|遮:しゃ|断:だん|器:き
漏電遮断器;Rōden Shadan-ki;ろうでんしゃだんき;Pemutus Arus Bocor, Ground Fault Circuit Breaker, Alat Pemutus Arus untuk Kebocoran Listrik;121;漏:ろう|電:でん|遮:しゃ|断:だん|器:き
分電盤;Bundenban;ぶんでんばん;Panel Distribusi, Panel Listrik, Panel Pembagi Listrik;121;分:ぶん|電:でん|盤:ばん
限る;Kagiru;かぎる;Membatasi, Hanya untuk, Terbatas pada;121;限:かぎ
目安;Meyasu;めやす;Panduan, Acuan, Standar;121;目:め|安:やす
異常;Ijō;いじょう;Abnormal, Tidak Normal, Keadaan Tidak Biasa;121;異:い|常:じょう
定格電流;Teikaku Denryū;ていかくでんりゅう;Arus Listrik Berperingkat, Arus Listrik Tertentu, Rating Arus Listrik;121;定:てい|格:かく|電:でん|流:りゅう
つまみ;Tsumami;つまみ;Tombol, Kenop, Alat untuk Mengoperasikan;121;
一旦;Ittan;いったん;Sementara, Sekali, Untuk Sementara;121;一:いっ|旦:たん
戻す;Modosu;もどす;Mengembalikan, Kembali, Memulihkan;121;戻:もど
役入;Yakuiri;やくいり;Fungsi, Peran, Kegunaan;121;役:やく|入:いり
取り除く;Torinozoku;とりのぞく;Menghilangkan, Menyingkirkan, Membuang;121;取:と|除:のぞ
漏電する;Rōden suru;ろうでんする;Bocor Listrik, Terjadi Kebocoran Listrik, Arus Bocor;121;漏:ろう|電:でん
持ち合わせる;Mochiawaseru;もちあわせる;Memiliki, Membawa, Mempunyai;121;持:も|合:あ
役割;Yakuwari;やくわり;Peran, Fungsi, Tugas;121;役:やく|割:わり
果たす;Hatasu;はたす;Memenuhi, Melaksanakan, Menjalankan;121;果:は
復帰ボタン;Fukki Botan;ふっきボタン;Tombol Pemulihan, Tombol Reset, Alat untuk Mengembalikan ke Kondisi Normal;121;復:ふっ|帰:き
作動試験用;Sadō Shiken-yō;さどうしけんよう;Untuk Uji Operasi, Alat untuk Pengujian Fungsi, Perlengkapan untuk Uji Coba;121;作:さ|動:どう|試:し|験:けん|用:よう
押し込む;Oshikomu;おしこむ;Menekan, Mendorong, Memasukkan dengan Tekanan;121;押:お|込:こ
発生する;Hassei suru;はっせいする;Terjadi, Muncul, Timbul;121;発:はっ|生:せい
再役入する;Saiyakuiri suru;さいやくいりする;Memasukkan Kembali, Mengembalikan, Memulihkan Fungsi;121;再:さい|役:やく|入:いり
小型漏電ブレーカー;Kogata Rōden Burēkā;こがたろうでんブレーカー;Circuit Breaker Bocor Kecil, Pemutus Arus Bocor Tipe Kecil, Alat Pemutus Arus untuk Kebocoran Listrik dengan Ukuran Kecil;121;小:こ|型:がた|漏:ろう|電:でん
漏電保護専用;Rōden Hogo Sen'yō;ろうでんほごせんよう;Eksklusif untuk Perlindungan Kebocoran Listrik, Hanya untuk Perlindungan Arus Bocor, Alat Khusus untuk Melindungi dari Kebocoran Listrik;121;漏:ろう|電:でん|保:ほ|護:ご|専:せん|用:よう
高速型;Kōsoku-gata;こうそくがた;Tipe Kecepatan Tinggi, Sistem Kecepatan Tinggi, Alat dengan Fungsi Kecepatan Tinggi;121;高:こう|速:そく|型:がた
衝撃波不動型;Shōgekiha Fudō-gata;しょうげきはふどうがた;Tipe yang Tidak Mudah Terpicu Gelombang Kejut;121;衝:しょう|撃:げき|波:は|不:ふ|動:どう|型:がた

放送設備;Hōsō Setsubi;ほうそうせつび;Peralatan Penyiaran, Sistem Penyiaran, Alat untuk Penyiaran;123;放:ほう|送:そう|設:せつ|備:び
音声;Onsei;おんせい;Suara, Audio, Bunyi;123;音:おん|声:せい
音楽;Ongaku;おんがく;Musik, Lagu, Alunan;123;音:おん|楽:がく
チャイム;Chaimu;チャイム;Bel, Lonceng, Alat untuk Membunyikan;123;
増幅;Zōfuku;ぞうふく;Amplifikasi, Penguatan, Memperbesar;123;増:ぞう|幅:ふく
各所;Kakusho;かくしょ;Setiap Tempat, Berbagai Tempat, Tiap Lokasi;123;各:かく|所:しょ
範囲;Hani;はんい;Lingkup, Cakupan, Area;123;範:はん|囲:い
放送する;Hōsō suru;ほうそうする;Menyiarakan, Menyiarkan, Melakukan Penyiaran;123;放:ほう|送:そう
増幅器;Zōfuku-ki;ぞうふくき;Amplifier, Penguat, Alat untuk Memperkuat Sinyal;123;増:ぞう|幅:ふく|器:き
アンプ;Anpu;アンプ;Amp, Amplifier, Alat untuk Memperkuat Sinyal;123;
チューナー;Chūnā;チューナー;Tuner, Penyetel, Alat untuk Menyetel Sinyal;123;
プレーヤー;Purēyā;プレーヤー;Player, Pemutar, Alat untuk Memutar Musik atau Audio;123;
マイクロホン;Maikurohon;マイクロホン;Microphone, Mikrofon, Alat untuk Merekam atau Menguatkan Suara;123;
各種;Kakushu;かくしゅ;Berbagai Jenis, Setiap Jenis, Tiap Tipe;123;各:かく|種:しゅ
主要な;Shuyō na;しゅような;Utama, Penting, Esensial;123;主:しゅ|要:よう
埃;Hokori;ほこり;Debu, Kotoran, Partikel Kecil;123;埃:ほこり
こまめな;Komame na;こまめな;Sering, Rajin, Sering Melakukan;123;
発熱;Hatsunetsu;はつねつ;Panas, Penghasil Panas, Menghasilkan Panas;123;発:はつ|熱:ねつ
風通し;Kaze Tōshi;かぜとおし;Sirkulasi Udara, Ventilasi, Aliran Udara;123;風:かぜ|通:とお
音量調節器;Onryō Chōsetsuki;おんりょうちょうせつき;Volume Control, Pengatur Volume, Alat untuk Mengatur Kekuatan Suara;123;音:おん|量:りょう|調:ちょう|節:せつ|器:き
アッテネーター;Attenētā;アッテネーター;Attenuator, Peredam, Alat untuk Meredam Sinyal;123;
用途;Yōto;ようと;Penggunaan, Tujuan, Fungsi;123;用:よう|途:と
規模;Kibo;きぼ;Skala, Ukuran, Besaran;123;規:き|模:ぼ
予備電源;Yobi Dengen;よびでんげん;Sumber Daya Cadangan, Sumber Listrik Cadangan, Power Supply Cadangan;123;予:よ|備:び|電:でん|源:げん
内蔵蓄電池;Naizō Chikudenchi;ないぞうちくでんち;Baterai Internal, Baterai Tersimpan, Baterai yang Dibangun di Dalam;123;内:ない|蔵:ぞう|蓄:ちく|電:でん|池:ち
さらに;Sarā ni;さらに;Lebih Lanjut, Selain Itu, Tambahan;123;
配線;Haisen;はいせん;Pengkabelan, Wiring, Sistem Kabel;123;配:はい|線:せん
ラック型;Rakku-gata;ラックがた;Tipe Rak, Sistem Rak, Alat dengan Bentuk Rak;123;型:がた
壁掛型;Kabe-kake-gata;かべかけがた;Tipe Gantung di Dinding, Sistem Gantung di Dinding, Alat dengan Desain untuk Digantung di Dinding;123;壁:かべ|掛:かけ|型:がた
遠隔操作器;Enkaku Sōsa-ki;えんかくそうさき;Alat Pengoperasian Jarak Jauh, Remote Control, Perangkat untuk Mengendalikan dari Jarak Jauh;123;遠:えん|隔:かく|操:そう|作:さ|器:き
非常用放送設備;Hijō-yō Hōsō Setsubi;ひじょうようほうそうせつび;Peralatan Penyiaran Darurat, Sistem Penyiaran untuk Keadaan Darurat, Alat untuk Penyiaran dalam Situasi Darurat;123;非:ひ|常:じょう|用:よう|放:ほう|送:そう|設:せつ|備:び
天井埋込型;Tenjō Umekomi-gata;てんじょううめこみがた;Tipe Tertanam di Langit-langit, Sistem Tertanam di Langit-langit, Alat dengan Desain untuk Ditanam di Langit-langit;123;天:てん|井:じょう|埋:うめ|込:こみ|型:がた
天井露出型;Tenjō Roshutsu-gata;てんじょうろしゅつがた;Tipe Terpasang di Langit-langit, Sistem Terpasang di Langit-langit, Alat dengan Desain untuk Dipasang di Langit-langit;123;天:てん|井:じょう|露:ろ|出:しゅつ|型:がた
トランペット型;Toranpetto-gata;トランペットがた;Tipe Terompet, Sistem Terompet, Alat dengan Bentuk Terompet;123;型:がた
非常用スピーカー;Hijō-yō Supīkā;ひじょうようスピーカー;Speaker Darurat, Alat Pengeras Suara untuk Keadaan Darurat, Sistem Pengeras Suara Darurat;123;非:ひ|常:じょう|用:よう

電話設備;Denwa Setsubi;でんわせつび;Peralatan Telepon, Sistem Telepon, Alat untuk Komunikasi Telepon;127;電:でん|話:わ|設:せつ|備:び
電話機;Denwa-ki;でんわき;Telepon, Alat Telepon, Perangkat Telepon;127;電:でん|話:わ|機:き
配管配線;Haikan Haisen;はいかんはいせん;Pipa dan Kabel, Sistem Pipa dan Kabel, Alat untuk Pipa dan Kabel;127;配:はい|管:かん|配:はい|線:せん
電話交換機;Denwa Kōkan-ki;でんわこうかんき;Sentral Telepon, Switch Telepon, Alat Pertukaran Telepon, Sistem Pertukaran Telepon;127;電:でん|話:わ|交:こう|換:かん|機:き
総称する;Sōshō suru;そうしょうする;Menyebut Secara Umum, Menggeneralisasi, Menyebut dengan Istilah Umum;127;総:そう|称:しょう
電気通信事業者;Denki Tsūshin Jigyōsha;でんきつうしんじぎょうしゃ;Operator Telekomunikasi, Perusahaan Telekomunikasi, Penyedia Layanan Telekomunikasi;127;電:でん|気:き|通:つう|信:しん|事:じ|業:ぎょう|者:しゃ
繋がる;Tsunagaru;つながる;Terhubung, Terkoneksi, Tersambung;127;繋:つな
直通電話;Chokutsū Denwa;ちょくつうでんわ;Telepon Langsung, Telepon Non-Stop, Telepon Tanpa Perantara;127;直:ちょく|通:つう|電:でん|話:わ
小中規模;Shōchū Kibo;しょうちゅうきぼ;Skala Kecil hingga Menengah, Ukuran Kecil sampai Sedang, Tingkat Kecil dan Menengah;127;小:しょう|中:ちゅう|規:き|模:ぼ
対応;Taiō;たいおう;Mendukung, Kompatibel, Dapat Digunakan dengan;127;対:たい|応:おう
用いる;Mochiiru;もちいる;Menggunakan, Memanfaatkan, Memakai;127;用:もち
湿気;Shikke;しっけ;Kelembaban, Uap Air, Kondisi Lembab;127;湿:しっ|気:け
振動;Shindō;しんどう;Getaran, Vibrasi, Guncangan;127;振:しん|動:どう
高温;Kōon;こうおん;Suhu Tinggi, Panas, Kondisi Panas;127;高:こう|温:おん
環境;Kankō;かんこう;Lingkungan, Atmosfer, Kondisi Sekitar;127;環:かん|境:きょう
電話配線;Denwa Haisen;でんわはいせん;Kabel Telepon, Sistem Kabel Telepon, Alat untuk Kabel Telepon;127;電:でん|話:わ|配:はい|線:せん
変更;Henkō;へんこう;Perubahan, Modifikasi, Pembaruan;127;変:へん|更:こう
増設;Zōsetsu;そうせつ;Penambahan, Peningkatan, Pembenahan;127;増:そう|設:せつ
容易;Yōi;ようい;Mudah, Praktis, Tidak Rumit;127;容:よう|易:い
端子盤;Tanshi-ban;たんしばん;Papan Terminal, Papan Koneksi, Alat untuk Koneksi Terminal;127;端:たん|子:し|盤:ばん
構内交換機;Kōnai Kōkan-ki;こうないこうかんき;Switch dalam Bangunan, Perangkat Pertukaran dalam Bangunan, Alat untuk Pertukaran dalam Bangunan;127;構:こう|内:ない|交:こう|換:かん|機:き
社外;Shagai;しゃがい;Di luar perusahaan, Di luar organisasi, Diluar lingkungan perusahaan;127;社:しゃ|外:がい
発着;Hacchaku;はっちゃく;Penerbangan, Pemberangkatan, Kedatangan;127;発:はっ|着:ちゃく
繋ぐ;Tsunagu;つなぐ;Menghubungkan, Menyambungkan, Membuat Koneksi;127;繋:つな
同線同士;Dōsen Dōshi;どうせんどうし;Kabel yang Sama, Kabel yang Terhubung, Kabel yang Sejenis;127;同:どう|線:せん|同:どう|士:し

通信ネットワーク設備;Tsūshin Nettowāku Setsubi;つうしんネットワークせつび;Peralatan Jaringan Komunikasi, Sistem Jaringan Komunikasi, Alat untuk Jaringan Komunikasi;129;通:つう|信:しん|設:せつ|備:び
接続;Setsuzoku;せつぞく;Koneksi, Sambungan, Hubungan;129;接:せつ|続:ぞく
略す;Ryaku su;りゃくす;Menyingkat, Mengabbreviate, Memperpendek;129;略:りゃく
自宅;Jitaku;じたく;Rumah, Tempat Tinggal, Kediaman;129;自:じ|宅:たく
一定の;Ittei no;いっていの;Tertentu, Spesifik, Tetap;129;一:いっ|定:てい
限定する;Gentei suru;げんていする;Membatasi, Menentukan, Membuat Batasan;129;限:げん|定:てい
横築する;Yokochiku suru;よこちくする;Membangun secara Horizontal, Mendirikan dengan Cara Menyamping, Membangun dengan Orientasi Horizontal;129;横:よこ|築:ちく
プリンクール;Purinkūru;プリンクール;Pringle, Alat untuk Memperkuat Sinyal, Sistem untuk Memperkuat Sinyal;129;
周辺機器;Shūhen Kiki;しゅうへんきき;Perangkat Sekitar, Peralatan Pendukung, Alat Tambahan;129;周:しゅう|辺:へん|機:き|器:き
共有;Kyōyū;きょうゆう;Berbagi, Bersama, Kolaborasi;129;共:きょう|有:ゆう
挙げられる;Agerareru;あげられる;Dapat Diberikan, Bisa Diberikan, Contoh yang Bisa Diberikan;129;挙:あ
有線;Yūsen;ゆうせん;Berkabel, Kabel, Dengan Kabel;129;有:ゆう|線:せん
無線;Musen;むせん;Nirkabel, Wireless, Tanpa Kabel;129;無:む|線:せん
通信速度;Tsūshin Sokudo;つうしんそくど;Kecepatan Komunikasi, Kecepatan Transmisi, Laju Komunikasi;129;通:つう|信:しん|速:そく|度:ど
比較的;Hikakuteki;ひかくてき;Relatif, Cukup, Agak;129;比:ひ|較:かく|的:てき
活用する;Katsuyō suru;かつようする;Memanfaatkan, Menggunakan, Mengaplikasikan;129;活:かつ|用:よう
複数台;Fukusū-dai;ふくすうだい;Beberapa Unit, Banyak Unit, Lebih dari Satu Unit;129;複:ふく|数:すう|台:だい
絡まる;Karamaru;からまる;Tersangkut, Terjerat, Terkait;129;絡:から
不要;Fuyō;ふよう;Tidak Perlu, Tidak Diperlukan, Tidak Dibutuhkan;129;不:ふ|要:よう
電波;Denpa;でんぱ;Gelombang Radio, Sinyal Radio, Frekuensi Radio;129;電:でん|波:ぱ
利点;Riten;りてん;Keuntungan, Manfaat, Kelebihan;129;利:り|点:てん
適切な;Tekisetsu na;てきせつな;Tepat, Sesuai, Cocok;129;適:てき|切:せつ
選択する;Sentaku suru;せんたくする;Memilih, Menentukan, Mengambil Pilihan;129;選:せん|択:たく
配線事例;Haisen Jirei;はいせんじれい;Contoh Pengkabelan, Studi Kasus Pengkabelan, Ilustrasi Pengkabelan;129;配:はい|線:せん|事:じ|例:れい
サーもカメラ;Sāmo Kamera;サーもカメラ;Thermal Camera, Kamera Termal, Alat untuk Mendeteksi Panas;129;
子器;Koki;こき;Sub Unit, Perangkat Tambahan, Alat Pendukung;129;子:こ|器:き
親器;Oyaki;おやき;Main Unit, Perangkat Utama, Alat Utama;129;親:おや|器:き
モニター;Monitā;モニター;Monitor, Layar, Alat untuk Menampilkan;129;
分電盤;Bundenban;ぶんでんばん;Panel Distribusi, Panel Listrik, Panel Pembagi Listrik;129;分:ぶん|電:でん|盤:ばん
電気室;Denki Shitsu;でんきしつ;Ruang Listrik, Ruang Elektrik, Tempat untuk Peralatan Listrik;129;電:でん|気:き|室:しつ
入場ゲート;Nyūjō Gēto;にゅうじょうゲート;Gerbang Masuk, Pintu Masuk, Alat untuk Akses Masuk;129;入:にゅう|場:じょう
エントランスロビー;Entoransu Robī;エントランスロビー;Lobi, Ruang Tunggu, Area Masuk;129;
追加ネットワーク回線;Tsuika Nettowāku Kaisen;ついかネットワークかいせん;Penambahan Jalur Jaringan, Penambahan Sirkuit Jaringan, Alat untuk Menambah Jalur Jaringan;129;追:つい|加:か|回:かい|線:せん
既設のネットワーク回線;Kisetsu no Nettowāku Kaisen;きせつのネットワークかいせん;Jalur Jaringan yang Sudah Ada, Sirkuit Jaringan yang Sudah Terpasang, Alat untuk Jaringan yang Sudah Ada;129;既:き|設:せつ|回:かい|線:せん
電力線「既設」;Denryokusen "Kisetsu";でんりょくせん「きせつ」;Saluran Listrik "Sudah Ada", Jalur Listrik "Existing", Alat untuk Saluran Listrik yang Sudah Terpasang;129;電:でん|力:りょく|線:せん|既:き|設:せつ

インターホン設備;Intāhon Setsubi;インターホンせつび;Peralatan Interkom, Sistem Interkom, Alat untuk Komunikasi Internal;131;設:せつ|備:び
連絡用;Renraku-yō;れんらくよう;Untuk Komunikasi, Alat untuk Berkomunikasi, Sistem untuk Berkomunikasi;131;連:れん|絡:らく|用:よう
通話設備;Tsūwa Setsubi;つうわせつび;Peralatan Telepon, Sistem Telepon, Alat untuk Berkomunikasi melalui Telepon;131;通:つう|話:わ|設:せつ|備:び
用いる;Mochiiru;もちいる;Menggunakan, Memanfaatkan, Memakai;131;用:もち
親機;Oyaki;おやき;Main Unit, Perangkat Utama, Alat Utama;131;親:おや|機:き
通話;Tsūwa;つうわ;Telepon, Komunikasi, Pembicaraan;131;通:つう|話:わ
子機;Koki;こき;Sub Unit, Perangkat Tambahan, Alat Pendukung;131;子:こ|機:き
親子式;Oyako-shiki;おやこしき;Tipe Parent-Child, Sistem Parent-Child, Alat dengan Konfigurasi Parent-Child;131;親:おや|子:こ|式:しき
同士;Dōshi;どうし;Sesama, Satu Sama Lain, Saling;131;同:どう|士:し
相互式;Sōgo-shiki;そうごしき;Tipe Saling, Sistem Saling, Alat dengan Konfigurasi Saling;131;相:そう|互:ご|式:しき
組み合わせる;Kumiawaseru;くみあわせる;Menggabungkan, Memadukan, Menyatukan;131;組:く|合:あ
複合式;Fukugō-shiki;ふくごうしき;Tipe Gabungan, Sistem Gabungan, Alat dengan Konfigurasi Gabungan;131;複:ふく|合:ごう|式:しき
玄関;Genkan;げんかん;Pintu Masuk, Area Masuk, Foyer;131;玄:げん|関:かん
施設管理者;Shisetsu Kanrisha;しせつかんりしゃ;Manajer Fasilitas, Pengelola Fasilitas, Orang yang Bertanggung Jawab atas Fasilitas;131;施:し|設:せつ|管:かん|理:り|者:しゃ
防災センサー;Bōsai Sensā;ぼうさいセンサー;Sensor Bencana, Alat Deteksi Bencana, Sistem Sensor untuk Keamanan;131;防:ぼう|災:さい
各室相互;Kakushitsu Sōgo;かくしつそうご;Setiap Ruangan Saling, Tiap Ruangan Saling, Alat untuk Komunikasi Antar Ruangan;131;各:かく|室:しつ|相:そう|互:ご
ナースコール;Nāsu Kōru;ナースコール;Nurse Call, Sistem Panggilan Perawat, Alat untuk Memanggil Perawat;131;
系統図;Keitōzu;けいとうず;Diagram Sistem, Diagram Alur, Skema Sistem;131;系:けい|統:とう|図:ず

テレビ共聴設備;Terebi Kyōchō Setsubi;テレビきょうちょうせつび;Peralatan Antena TV Bersama, Sistem Antena TV Kolektif, Alat untuk Menerima Sinyal TV Bersama;133;共:きょう|聴:ちょう|設:せつ|備:び
放送;Hōsō;ほうそう;Penyiaran, Siaran, Broadcast;133;放:ほう|送:そう
受信する;Jushin suru;じゅしんする;Menerima Sinyal, Menangkap Sinyal, Proses Penerimaan;133;受:じゅ|信:しん
不経済;Fukeizai;ふけいざい;Tidak Ekonomis, Tidak Efisien, Boros;133;不:ふ|経:けい|済:ざい
全て;Subete;すべて;Semua, Seluruh, Keseluruhan;133;全:すべ
良好;Ryōkō;りょうこう;Baik, Bagus, Memuaskan;133;良:りょう|好:こう
信号;Shingō;しんごう;Sinyal, Tanda, Indikator;133;信:しん|号:ごう
増幅器;Zōfuku-ki;ぞうふくき;Amplifier, Penguat, Alat untuk Memperkuat Sinyal;133;増:ぞう|幅:ふく|器:き
ブースター;Būsutā;ブースター;Booster, Penguat Sinyal, Alat untuk Meningkatkan Sinyal;133;
端子;Tanshi;たんし;Terminal, Koneksi, Alat untuk Koneksi;133;端:たん|子:し
供給する;Kyōkyū suru;きょうきゅうする;Menyediakan, Memberikan, Memasok;133;供:きょう|給:きゅう
テレビ共同受信設備;Terebi Kyōdō Jushin Setsubi;テレビきょうどうじゅしんせつび;Peralatan Penerimaan TV Bersama, Sistem Penerimaan TV Kolektif, Alat untuk Menerima Sinyal TV Bersama;133;共:きょう|同:どう|受:じゅ|信:しん|設:せつ|備:び
地デジ放送;Chideji Hōsō;ちでじほうそう;Penyiaran Digital Terestrial, Siaran TV Digital, Broadcast TV Digital;133;地:ち|放:ほう|送:そう
衛星放送;Eisei Hōsō;えいせいほうそう;Penyiaran Satelit, Siaran Satelit, Broadcast Satelit;133;衛:えい|星:せい|放:ほう|送:そう
混合器;Kongō-ki;こんごうき;Mixer, Alat Pencampur, Perangkat untuk Mencampur Sinyal;133;混:こん|合:ごう|器:き
調整;Chōsei;ちょうせい;Penyesuaian, Kalibrasi, Penyetelan;133;調:ちょう|整:せい
分配器;Bunpai-ki;ぶんぱいき;Splitter, Alat Pembagi, Perangkat untuk Membagi Sinyal;133;分:ぶん|配:ぱい|器:き
出入力;Shutsunyūryoku;しゅつにゅうりょく;Input/Output, Masukan/Keluaran, Alat untuk Input dan Output;133;出:しゅつ|入:にゅう|力:りょく
地上;Chijō;ちじょう;Terestrial, Di Bumi, Penyiaran Darat;133;地:ち|上:じょう
放送用チューナー;Hōsō-yō Chūnā;ほうそうようチューナー;Tuner untuk Penyiaran, Alat Penyetel untuk Broadcast, Sistem Penyetel untuk Siaran;133;放:ほう|送:そう|用:よう

受変電設備;Juhenden Setsubi;じゅへんでんせつび;Peralatan Transformator dan Distribusi, Sistem Transformator dan Distribusi, Alat untuk Transformasi dan Distribusi Listrik;137;受:じゅ|変:へん|電:でん|設:せつ|備:び
電力送電会社;Denryoku Sōden Kaisha;でんりょくそうでんかいしゃ;Perusahaan Pengiriman Listrik, Perusahaan Transmisi Listrik, Penyedia Layanan Transmisi Listrik;137;電:でん|力:りょく|送:そう|電:でん|会:かい|社:しゃ
高圧;Kōatsu;こうあつ;Tegangan Tinggi, High Voltage, Kondisi dengan Tegangan Listrik yang Tinggi;137;高:こう|圧:あつ
配電線;Haiden-sen;はいでんせん;Saluran Distribusi, Jalur Distribusi, Alat untuk Distribusi Listrik;137;配:はい|電:でん|線:せん
分岐;Bunki;ぶんき;Cabang, Percabangan, Alat untuk Membagi Arus Listrik;137;分:ぶん|岐:き
構内柱;Kōnai-bashira;こうないばしら;Tiang di Dalam Area, Tiang Internal, Struktur Penyangga di Area;137;構:こう|内:ない|柱:ばしら
引き込む;Hikikomu;ひきこむ;Menarik Masuk, Menghubungkan, Memasukkan;137;引:ひ|込:こ
変圧器;Hen'atsuki;へんあつき;Transformator, Alat untuk Mengubah Tegangan Listrik, Perangkat Transformasi Listrik;137;変:へん|圧:あつ|器:き
動力用;Dōryoku-yō;どうりょくよう;Untuk Daya, Untuk Tenaga, Alat untuk Kebutuhan Daya;137;動:どう|力:りょく|用:よう
変圧;Hen'atsu;へんあつ;Transformasi Tegangan, Perubahan Tegangan, Proses Mengubah Tegangan Listrik;137;変:へん|圧:あつ
責任分界点;Sekinin Bunkai-ten;せきにんぶんかいてん;Titik Batas Tanggung Jawab, Titik Pemisah Tanggung Jawab, Batas Tanggung Jawab;137;責:せき|任:にん|分:ぶん|界:かい|点:てん
避雷器;Hiraiki;ひらいき;Surge Arrester, Alat Penangkal Petir, Perangkat untuk Melindungi dari Lonjakan Listrik;137;避:ひ|雷:らい|器:き
高圧開閉器;Kōatsu Kaiheiki;こうあつかいへいき;Switch Tegangan Tinggi, Alat Pemutus Tegangan Tinggi, Perangkat untuk Mengendalikan Tegangan Tinggi;137;高:こう|圧:あつ|開:かい|閉:へい|器:き
低圧開閉器;Teiatsu Kaiheiki;ていあつかいへいき;Switch Tegangan Rendah, Alat Pemutus Tegangan Rendah, Perangkat untuk Mengendalikan Tegangan Rendah;137;低:てい|圧:あつ|開:かい|閉:へい|器:き
高圧負荷開閉器;Kōatsu Fuka Kaiheiki;こうあつふかかいへいき;Switch Beban Tegangan Tinggi, Alat Pemutus Beban Tegangan Tinggi, Perangkat untuk Mengendalikan Beban pada Tegangan Tinggi;137;高:こう|圧:あつ|負:ふ|荷:か|開:かい|閉:へい|器:き
電力ヒューズ;Denryoku Hyūzu;でんりょくヒューズ;Sekring Listrik, Fuse, Alat untuk Melindungi dari Arus Berlebih;137;電:でん|力:りょく
単相;Tansō;たんそう;Fasa Tunggal, Single Phase, Sistem Listrik dengan Satu Fasa;137;単:たん|相:そう
電力用コンデンサ;Denryoku-yō Kondensa;でんりょくようコンデンサ;Kapasitor untuk Listrik, Alat Penyimpan Energi Listrik, Perangkat untuk Menyimpan Muatan Listrik;137;電:でん|力:りょく|用:よう
三相;Sansō;さんそう;Fasa Tiga, Three Phase, Sistem Listrik dengan Tiga Fasa;137;三:さん|相:そう
低圧配電盤;Teiatsu Haidenban;ていあつはいでんばん;Panel Distribusi Tegangan Rendah, Panel Listrik Tegangan Rendah, Alat untuk Distribusi Listrik dengan Tegangan Rendah;137;低:てい|圧:あつ|配:はい|電:でん|盤:ばん
電灯回路配電用遮断器;Dentō Kairo Haiden-yō Shadan-ki;でんとうかいろはいでんようしゃだんき;Pemutus Sirkuit untuk Distribusi Penerangan, Alat Pemutus untuk Sirkuit Lampu, Perangkat untuk Melindungi Sirkuit Penerangan;137;電:でん|灯:とう|回:かい|路:ろ|配:はい|電:でん|用:よう|遮:しゃ|断:だん|器:き
キュービクル;Kyūbikuru;キュービクル;Cubicle, Ruang Tertutup untuk Peralatan Listrik, Alat untuk Menempatkan Peralatan Listrik;137;

